Comparações_AVL	Tamanho_AVL	Comparações_ABB	Tamanho_ABB
16	18414	14	18414
16	50860	27	50860
17	25688	21	25688
18	47697	30	47697
13	10645	23	10645
15	51296	16	51296
14	49481	27	49481
16	24695	19	24695
18	63331	17	63331
16	33749	20	33749
18	60871	21	60871
16	17788	19	17788
17	52254	21	52254
13	7648	23	7648
16	28548	16	28548
16	20257	22	20257
14	42297	18	42297
16	27797	20	27797
16	23272	23	23272
16	28689	24	28689
16	28672	17	28672
18	61020	23	61020
16	8780	19	8780
16	65136	25	65136
16	36663	20	36663
17	47068	23	47068
15	5151	15	5151
17	20241	23	20241
17	22643	17	22643
17	47269	28	47269
16	67378	29	67378
13	41056	24	41056
14	4480	20	4480
14	23065	19	23065
18	65105	20	65105
18	61476	18	61476
12	4361	23	4361
17	44585	13	44585
15	16170	15	16170
18	67691	25	67691
14	8333	23	8333
16	53393	21	53393
17	61830	17	61830
15	36939	24	36939
18	61040	30	61040
14	20378	20	20378
17	57195	22	57195
14	33336	22	33336
16	24526	19	24526
18	56819	21	56819
15	38376	21	38376
17	53198	19	53198
13	47838	24	47838
17	47156	11	47156
17	48333	29	48333
14	14500	11	14500
11	575	15	575
16	29835	26	29835
13	11092	18	11092
16	23217	21	23217
18	53456	27	53456
16	8469	14	8469
17	40624	18	40624
16	57935	27	57935
16	31534	21	31534
15	35728	21	35728
12	49411	20	49411
14	12246	13	12246
14	10313	20	10313
15	41932	22	41932
17	56288	30	56288
16	64997	15	64997
13	48117	21	48117
13	31935	21	31935
16	16363	21	16363
18	44846	15	44846
18	65482	22	65482
16	49699	21	49699
17	69372	29	69372
15	52300	19	52300
17	18074	19	18074
16	28921	21	28921
11	6489	20	6489
16	41581	25	41581
17	53605	23	53605
16	67341	19	67341
14	42155	22	42155
16	13440	17	13440
17	8432	17	8432
15	41723	29	41723
17	66895	24	66895
14	16901	15	16901
14	12347	11	12347
14	31181	22	31181
15	24786	26	24786
16	48074	25	48074
15	13383	18	13383
14	34738	23	34738
17	52523	18	52523
14	46022	23	46022
14	29735	21	29735
12	7846	17	7846
15	24138	19	24138
16	38021	17	38021
11	561	10	561
17	45336	18	45336
16	9854	18	9854
15	50259	21	50259
15	21059	20	21059
19	38505	19	38505
12	44684	24	44684
16	49979	13	49979
15	44994	30	44994
17	62617	24	62617
13	9935	18	9935
15	42334	27	42334
12	11123	20	11123
14	69726	24	69726
18	27117	19	27117
16	52846	29	52846
16	42972	19	42972
15	20369	21	20369
15	41544	24	41544
16	4153	18	4153
14	21506	26	21506
16	19617	20	19617
18	61095	22	61095
16	34888	25	34888
14	54355	25	54355
14	19969	24	19969
17	10909	19	10909
16	60441	27	60441
14	4167	14	4167
13	11399	18	11399
15	28461	19	28461
13	4727	21	4727
14	56734	18	56734
15	14667	22	14667
16	54985	22	54985
17	54144	23	54144
16	53171	26	53171
13	6020	20	6020
17	10474	24	10474
14	28164	25	28164
12	20408	24	20408
16	46849	22	46849
17	56111	19	56111
16	20134	20	20134
17	50318	15	50318
15	15308	16	15308
15	63105	19	63105
9	686	13	686
17	33203	11	33203
17	43609	23	43609
16	22192	20	22192
16	52819	25	52819
17	34704	17	34704
14	33431	25	33431
13	13525	15	13525
15	31024	21	31024
16	20692	22	20692
10	3965	15	3965
15	35190	24	35190
17	32090	23	32090
16	8778	17	8778
12	39916	25	39916
16	65175	24	65175
14	23444	16	23444
15	1252	17	1252
15	25670	24	25670
14	6614	18	6614
17	53624	23	53624
16	36143	13	36143
15	11130	14	11130
16	28611	21	28611
16	56550	29	56550
14	34330	16	34330
18	61073	21	61073
16	53035	23	53035
13	14647	33	14647
17	52732	22	52732
16	22492	23	22492
16	61685	15	61685
15	15934	17	15934
17	66100	21	66100
18	60228	24	60228
16	68753	20	68753
13	7155	17	7155
13	23658	20	23658
16	58629	17	58629
15	38179	15	38179
15	20701	16	20701
16	62594	19	62594
17	49720	24	49720
16	29142	18	29142
15	19636	17	19636
9	668	19	668
9	1166	17	1166
17	20887	16	20887
16	26337	22	26337
